INVOICENO,"STOCK CODE",Description,Quantity,InvoiceDate,UNITPRICE,CustomerID,Country,Name,Age
536763,21984,"PACK OF 12 PINK PAISLEY TISSUES ",-24,"12-01-2010 10:24",0.29,16926,"United Kingdom",NULL,NULL
536764,21983,"PACK OF 12 BLUE PAISLEY TISSUES ",-24,"12-01-2010 10:24",0.29,17787,"United Kingdom",NULL,NULL
536765,21980,"PACK OF 12 RED RETROSPOT TISSUES ",-24,"12-01-2010 10:24",0.29,12682,"United Kingdom",NULL,NULL
536769,21484,"CHICK GREY HOT WATER BOTTLE",-12,"12-01-2010 10:24",3.45,14723,"United Kingdom",NULL,NULL
536771,22557,"PLASTERS IN TIN VINTAGE PAISLEY ",-12,"12-01-2010 10:24",1.65,17954,"United Kingdom",NULL,NULL
536777,22553,"PLASTERS IN TIN SKULLS",-24,"12-01-2010 10:24",1.65,17819,"United Kingdom",NULL,NULL
536778,22150,"3 STRIPEY MICE FELTCRAFT",6,"12-01-2010 10:29",1.95,12712,"United Kingdom",NULL,NULL
536779,22619,"SET OF 6 SOLDIER SKITTLES",4,"12-01-2010 10:29",3.75,15373,"United Kingdom",NULL,NULL
536780,21891,"TRADITIONAL WOODEN SKIPPING ROPE",12,"12-01-2010 10:29",1.25,16140,"United Kingdom",NULL,NULL
536781,21889,"WOODEN BOX OF DOMINOES",12,"12-01-2010 10:29",1.25,17198,"United Kingdom",NULL,NULL
536782,22827,"RUSTIC  SEVENTEEN DRAWER SIDEBOARD",1,"12-01-2010 10:29",165,17238,"United Kingdom",NULL,NULL
536783,22127,"PARTY CONES CARNIVAL ASSORTED",12,"12-01-2010 10:29",1.25,12793,"United Kingdom",NULL,NULL
536784,22128,"PARTY CONES CANDY ASSORTED",12,"12-01-2010 10:29",1.25,15769,"United Kingdom",NULL,NULL
536785,22502,"PICNIC BASKET WICKER SMALL",4,"12-01-2010 10:29",5.95,14396,"United Kingdom",NULL,NULL
536786,84879,"ASSORTED COLOUR BIRD ORNAMENT",16,"12-01-2010 10:29",1.69,14898,"United Kingdom",NULL,NULL
536787,22338,"STAR DECORATION PAINTED ZINC ",24,"12-01-2010 10:29",0.65,12725,"United Kingdom",NULL,NULL
536788,22180,"RETROSPOT LAMP",8,"12-01-2010 10:37",9.95,16725,"United Kingdom",NULL,NULL
536789,21506,"FANCY FONT BIRTHDAY CARD, ",24,"12-01-2010 10:39",0.42,12395,"United Kingdom",NULL,NULL
536790,22633,"HAND WARMER UNION JACK",96,"12-01-2010 10:39",1.85,16455,"United Kingdom",NULL,NULL
536791,22866,"HAND WARMER SCOTTY DOG DESIGN",96,"12-01-2010 10:39",1.85,13081,"United Kingdom",NULL,NULL
536792,22865,"HAND WARMER OWL DESIGN",96,"12-01-2010 10:39",1.85,15545,"United Kingdom",NULL,NULL
536793,22632,"HAND WARMER RED RETROSPOT",96,"12-01-2010 10:39",1.85,17243,"United Kingdom",NULL,NULL
536794,21485,"RETROSPOT HEART HOT WATER BOTTLE",12,"12-01-2010 10:39",4.95,15465,"United Kingdom",NULL,NULL
536795,22349,"DOG BOWL CHASING BALL DESIGN",12,"12-01-2010 10:39",3.75,15708,"United Kingdom",NULL,NULL
536796,22558,"CLOTHES PEGS RETROSPOT PACK 24 ",48,"12-01-2010 10:39",1.25,13089,"United Kingdom",NULL,NULL
536797,85152,"HAND OVER THE CHOCOLATE   SIGN ",12,"12-01-2010 10:39",2.1,16033,"United Kingdom",NULL,NULL
536798,85123,"WHITE HANGING HEART T-LIGHT HOLDER",32,"12-01-2010 10:39",2.55,13838,"United Kingdom",NULL,NULL
536799,22652,"TRAVEL SEWING KIT",20,"12-01-2010 10:39",1.65,15351,"United Kingdom",NULL,NULL
536800,22188,"BLACK HEART CARD HOLDER",8,"12-01-2010 10:47",3.95,18055,"United Kingdom",NULL,NULL
536801,84879,"ASSORTED COLOUR BIRD ORNAMENT",32,"12-01-2010 10:47",1.69,15038,"United Kingdom",NULL,NULL
536802,21977,"PACK OF 60 PINK PAISLEY CAKE CASES",24,"12-01-2010 10:47",0.55,18109,"United Kingdom",NULL,NULL
536803,84991,"60 TEATIME FAIRY CAKE CASES",24,"12-01-2010 10:47",0.55,13069,"United Kingdom",NULL,NULL
536804,21212,"PACK OF 72 RETROSPOT CAKE CASES",24,"12-01-2010 10:47",0.55,16241,"United Kingdom",NULL,NULL
536805,21484,"CHICK GREY HOT WATER BOTTLE",8,"12-01-2010 10:47",3.45,14800,"United Kingdom",NULL,NULL
536806,21314,"SMALL GLASS HEART TRINKET POT",8,"12-01-2010 10:47",2.1,16839,"United Kingdom",NULL,NULL
536807,22730,"ALARM CLOCK BAKELIKE IVORY",4,"12-01-2010 10:47",3.75,16168,"United Kingdom",NULL,NULL
536808,22727,"ALARM CLOCK BAKELIKE RED ",8,"12-01-2010 10:47",3.75,16931,"United Kingdom",NULL,NULL
536809,22729,"ALARM CLOCK BAKELIKE ORANGE",8,"12-01-2010 10:47",3.75,16814,"United Kingdom",NULL,NULL
536810,22726,"ALARM CLOCK BAKELIKE GREEN",8,"12-01-2010 10:47",3.75,13269,"United Kingdom",NULL,NULL
536811,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",8,"12-01-2010 10:47",3.95,14813,"United Kingdom",NULL,NULL
536812,22867,"HAND WARMER BIRD DESIGN",48,"12-01-2010 10:47",2.1,12567,"United Kingdom",NULL,NULL
536813,22866,"HAND WARMER SCOTTY DOG DESIGN",48,"12-01-2010 10:47",2.1,17062,"United Kingdom",NULL,NULL
536814,85123,"WHITE HANGING HEART T-LIGHT HOLDER",6,"12-01-2010 10:51",2.55,15332,"United Kingdom",NULL,NULL
536815,71053,"WHITE METAL LANTERN",6,"12-01-2010 10:51",3.39,14810,"United Kingdom",NULL,NULL
536816,84406,"CREAM CUPID HEARTS COAT HANGER",8,"12-01-2010 10:51",2.75,16353,"United Kingdom",NULL,NULL
536817,15056,"EDWARDIAN PARASOL BLACK",6,"12-01-2010 10:51",4.95,18118,"United Kingdom",NULL,NULL
536818,20679,"EDWARDIAN PARASOL RED",6,"12-01-2010 10:51",4.95,13831,"United Kingdom",NULL,NULL
536819,37370,"RETRO COFFEE MUGS ASSORTED",6,"12-01-2010 10:51",1.06,13506,"United Kingdom",NULL,NULL
536820,21871,"SAVE THE PLANET MUG",6,"12-01-2010 10:51",1.06,17796,"United Kingdom",NULL,NULL
536821,21071,"VINTAGE BILLBOARD DRINK ME MUG",6,"12-01-2010 10:51",1.06,15716,"United Kingdom",NULL,NULL
536822,21068,"VINTAGE BILLBOARD LOVE/HATE MUG",6,"12-01-2010 10:51",1.06,15221,"United Kingdom",NULL,NULL
536823,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",2,"12-01-2010 10:51",4.95,18156,"United Kingdom",NULL,NULL
536824,82486,"WOOD S/3 CABINET ANT WHITE FINISH",4,"12-01-2010 10:51",6.95,16983,"United Kingdom",NULL,NULL
536825,82482,"WOODEN PICTURE FRAME WHITE FINISH",6,"12-01-2010 10:51",2.1,17059,"United Kingdom",NULL,NULL
536826,82494,"WOODEN FRAME ANTIQUE WHITE ",12,"12-01-2010 10:51",2.55,16327,"United Kingdom",NULL,NULL
536827,84029,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12-01-2010 10:51",3.39,17211,"United Kingdom",NULL,NULL
536828,84029,"RED WOOLLY HOTTIE WHITE HEART.",6,"12-01-2010 10:51",3.39,17026,"United Kingdom",NULL,NULL
536829,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12-01-2010 10:51",7.65,15570,"United Kingdom",NULL,NULL
536830,22803,"IVORY EMBROIDERED QUILT ",2,"12-01-2010 10:51",35.75,15880,"United Kingdom",NULL,NULL
536831,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12-01-2010 10:51",4.25,16718,"United Kingdom",NULL,NULL
536832,35004,"SET OF 3 BLACK FLYING DUCKS",12,"12-01-2010 10:51",4.65,15808,"United Kingdom",NULL,NULL
536833,35004,"SET OF 3 COLOURED  FLYING DUCKS",48,"12-01-2010 10:51",4.65,17858,"United Kingdom",NULL,NULL
536834,21980,"PACK OF 12 RED RETROSPOT TISSUES ",24,"12-01-2010 10:52",0.29,16393,"United Kingdom",NULL,NULL
536835,21844,"RED RETROSPOT MUG",6,"12-01-2010 10:52",2.95,14527,"United Kingdom",NULL,NULL
536836,22468,"BABUSHKA LIGHTS STRING OF 10",4,"12-01-2010 10:52",6.75,14161,"United Kingdom",NULL,NULL
536837,22637,"PIGGY BANK RETROSPOT ",8,"12-01-2010 10:52",2.55,17863,"United Kingdom",NULL,NULL
536838,22752,"SET 7 BABUSHKA NESTING BOXES",6,"12-01-2010 10:52",8.5,16411,"United Kingdom",NULL,NULL
536839,48185,"DOORMAT FAIRY CAKE",2,"12-01-2010 10:52",7.95,16402,"United Kingdom",NULL,NULL
536840,22632,"HAND WARMER RED RETROSPOT",12,"12-01-2010 10:52",2.1,15023,"United Kingdom",NULL,NULL
536841,22866,"HAND WARMER SCOTTY DOG DESIGN",12,"12-01-2010 10:52",2.1,17402,"United Kingdom",NULL,NULL
536842,22865,"HAND WARMER OWL DESIGN",12,"12-01-2010 10:52",2.1,15426,"United Kingdom",NULL,NULL
536843,21232,"STRAWBERRY CERAMIC TRINKET BOX",12,"12-01-2010 10:52",1.25,12647,"United Kingdom",NULL,NULL
536844,22064,"PINK DOUGHNUT TRINKET POT ",12,"12-01-2010 10:52",1.65,15894,"United Kingdom",NULL,NULL
536845,22449,"SILK PURSE BABUSHKA PINK",6,"12-01-2010 10:52",3.35,15867,"United Kingdom",NULL,NULL
536846,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",4,"12-01-2010 10:52",3.95,14506,"United Kingdom",NULL,NULL
536847,22835,"HOT WATER BOTTLE I AM SO POORLY",8,"12-01-2010 10:52",4.65,15555,"United Kingdom",NULL,NULL
536848,22112,"CHOCOLATE HOT WATER BOTTLE",9,"12-01-2010 10:52",4.95,13034,"United Kingdom",NULL,NULL
536849,21479,"WHITE SKULL HOT WATER BOTTLE ",4,"12-01-2010 10:52",3.75,15889,"United Kingdom",NULL,NULL
536850,22111,"SCOTTIE DOG HOT WATER BOTTLE",9,"12-01-2010 10:52",4.95,15953,"United Kingdom",NULL,NULL
536851,22632,"HAND WARMER RED POLKA DOT",6,"12-01-2010 10:52",1.85,16143,"United Kingdom",NULL,NULL
536852,22633,"HAND WARMER UNION JACK",6,"12-01-2010 10:52",1.85,12720,"United Kingdom",NULL,NULL
536853,22969,"HOMEMADE JAM SCENTED CANDLES",12,"12-01-2010 10:53",1.45,16422,"United Kingdom",NULL,NULL
536854,22110,"BIRD HOUSE HOT WATER BOTTLE",1,"12-01-2010 11:21",2.55,12747,"United Kingdom",NULL,NULL
536855,22098,"BOUDOIR SQUARE TISSUE BOX",1,"12-01-2010 11:21",1.25,15502,"United Kingdom",NULL,NULL
536856,22100,"SKULLS SQUARE TISSUE BOX",2,"12-01-2010 11:21",1.25,12763,"United Kingdom",NULL,NULL
536857,22766,"PHOTO FRAME CORNICE",1,"12-01-2010 11:21",2.95,14081,"United Kingdom",NULL,NULL
536858,22451,"SILK PURSE BABUSHKA RED",1,"12-01-2010 11:21",3.35,17965,"United Kingdom",NULL,NULL
536859,22549,"PICTURE DOMINOES",1,"12-01-2010 11:21",1.45,14404,"United Kingdom",NULL,NULL
536860,84744,"S/6 SEW ON CROCHET FLOWERS",1,"12-01-2010 11:21",1.25,13579,"United Kingdom",NULL,NULL
536861,85049,"SCANDINAVIAN REDS RIBBONS",2,"12-01-2010 11:21",1.25,13174,"United Kingdom",NULL,NULL
536862,21328,"BALLOONS  WRITING SET ",1,"12-01-2010 11:21",1.65,15987,"United Kingdom",NULL,NULL
536863,22961,"JAM MAKING SET PRINTED",4,"12-01-2010 11:21",1.45,17677,"United Kingdom",NULL,NULL
536864,17091,"LAVENDER INCENSE IN TIN",1,"12-01-2010 11:21",1.25,13652,"United Kingdom",NULL,NULL
536865,22473,"TV DINNER TRAY VINTAGE PAISLEY",1,"12-01-2010 11:21",4.95,12586,"United Kingdom",NULL,NULL
536866,84509,"SET OF 4 ENGLISH ROSE PLACEMATS",2,"12-01-2010 11:21",3.75,17428,"United Kingdom",NULL,NULL
536874,84510,"SET OF 4 ENGLISH ROSE COASTERS",2,"12-01-2010 11:21",1.25,16161,"United Kingdom",NULL,NULL
536876,22767,"TRIPLE PHOTO FRAME CORNICE ",2,"12-01-2010 11:21",9.95,16858,"United Kingdom",NULL,NULL
536883,22768,"FAMILY PHOTO FRAME CORNICE",1,"12-01-2010 11:21",9.95,18219,"United Kingdom",NULL,NULL
536884,21463,"MIRRORED DISCO BALL ",1,"12-01-2010 11:21",5.95,14293,"United Kingdom",NULL,NULL
536885,21464,"DISCO BALL ROTATOR BATTERY OPERATED",1,"12-01-2010 11:21",4.25,14748,"United Kingdom",NULL,NULL
536890,20820,"SILVER LOOKING MIRROR",3,"12-01-2010 11:21",4.95,16638,"United Kingdom",NULL,NULL
536920,85150,"LADIES & GENTLEMEN METAL SIGN",1,"12-01-2010 11:21",2.55,17674,"United Kingdom",NULL,NULL
536938,22117,"METAL SIGN HER DINNER IS SERVED ",1,"12-01-2010 11:21",2.95,12808,"United Kingdom",NULL,NULL
536941,21169,"YOU'RE CONFUSING ME METAL SIGN ",2,"12-01-2010 11:21",1.69,13094,"United Kingdom",NULL,NULL
536942,48129,"DOORMAT TOPIARY",1,"12-01-2010 11:21",7.95,15899,"United Kingdom",NULL,NULL
536943,82580,"BATHROOM METAL SIGN",1,"12-01-2010 11:21",0.55,12708,"United Kingdom",NULL,NULL
536944,82578,"KITCHEN METAL SIGN",1,"12-01-2010 11:21",0.55,15898,"United Kingdom",NULL,NULL
536945,82581,"TOILET METAL SIGN",2,"12-01-2010 11:21",0.55,17691,"United Kingdom",NULL,NULL
536946,22413,"METAL SIGN TAKE IT OR LEAVE IT ",4,"12-01-2010 11:21",2.95,17227,"United Kingdom",NULL,NULL
536947,21907,"I'M ON HOLIDAY METAL SIGN",2,"12-01-2010 11:21",2.1,15039,"United Kingdom",NULL,NULL
536954,22441,"GROW YOUR OWN BASIL IN ENAMEL MUG",1,"12-01-2010 11:21",2.1,15919,"United Kingdom",NULL,NULL
536956,21122,"SET/10 PINK POLKADOT PARTY CANDLES",1,"12-01-2010 11:21",1.25,13497,"United Kingdom",NULL,NULL
536957,22851,"SET 20 NAPKINS FAIRY CAKES DESIGN ",1,"12-01-2010 11:21",0.85,15860,"United Kingdom",NULL,NULL
536960,84991,"60 TEATIME FAIRY CAKE CASES",3,"12-01-2010 11:21",0.55,14189,"United Kingdom",NULL,NULL
536967,22810,"SET OF 6 T-LIGHTS SNOWMEN",1,"12-01-2010 11:21",2.95,15304,"United Kingdom",NULL,NULL
536968,22809,"SET OF 6 T-LIGHTS SANTA",1,"12-01-2010 11:21",2.95,14867,"United Kingdom",NULL,NULL
536969,22435,"SET OF 9 HEART SHAPED BALLOONS",2,"12-01-2010 11:21",1.25,14344,"United Kingdom",NULL,NULL
536970,20966,"SANDWICH BATH SPONGE",3,"12-01-2010 11:21",1.25,12474,"United Kingdom",NULL,NULL
536971,20963,"APPLE BATH SPONGE",1,"12-01-2010 11:21",1.25,16719,"United Kingdom",NULL,NULL
536972,20961,"STRAWBERRY BATH SPONGE ",1,"12-01-2010 11:21",1.25,15048,"United Kingdom",NULL,NULL
536973,22068,"BLACK PIRATE TREASURE CHEST",2,"12-01-2010 11:21",1.65,15301,"United Kingdom",NULL,NULL
536974,21743,"STAR PORTABLE TABLE LIGHT ",2,"12-01-2010 11:21",2.95,14708,"United Kingdom",NULL,NULL
536975,21744,"SNOWFLAKE PORTABLE TABLE LIGHT ",2,"12-01-2010 11:21",2.95,16898,"United Kingdom",NULL,NULL
536976,84709,"PINK OVAL JEWELLED MIRROR",1,"12-01-2010 11:21",5.95,14825,"United Kingdom",NULL,NULL
536977,21592,"RETROSPOT CIGAR BOX MATCHES ",1,"12-01-2010 11:21",1.25,18113,"United Kingdom",NULL,NULL
536978,21587,"COSY HOUR GIANT TUBE MATCHES",2,"12-01-2010 11:21",2.55,17596,"United Kingdom",NULL,NULL
536979,20992,"JAZZ HEARTS PURSE NOTEBOOK",9,"12-01-2010 11:21",0.85,15078,"United Kingdom",NULL,NULL
536980,22662,"LUNCH BAG DOLLY GIRL DESIGN",1,"12-01-2010 11:21",1.65,14085,"United Kingdom",NULL,NULL
536981,85123,"WHITE HANGING HEART T-LIGHT HOLDER",4,"12-01-2010 11:21",2.95,17860,"United Kingdom",NULL,NULL
536982,22804,"CANDLEHOLDER PINK HANGING HEART",3,"12-01-2010 11:21",2.95,13155,"United Kingdom",NULL,NULL
536983,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",1,"12-01-2010 11:21",5.95,15028,"United Kingdom",NULL,NULL
536984,20749,"ASSORTED COLOUR MINI CASES",1,"12-01-2010 11:21",7.95,16919,"United Kingdom",NULL,NULL
536985,20725,"LUNCH BAG RED RETROSPOT",1,"12-01-2010 11:21",1.65,14487,"United Kingdom",NULL,NULL
536986,22382,"LUNCH BAG SPACEBOY DESIGN ",2,"12-01-2010 11:21",1.65,17259,"United Kingdom",NULL,NULL
536987,20726,"LUNCH BAG WOODLAND",1,"12-01-2010 11:21",1.65,17019,"United Kingdom",NULL,NULL
536988,22384,"LUNCH BAG PINK POLKADOT",1,"12-01-2010 11:21",1.65,16722,"United Kingdom",NULL,NULL
536989,22467,"GUMBALL COAT RACK",5,"12-01-2010 11:21",2.55,15882,"United Kingdom",NULL,NULL
536990,84625,"BLUE NEW BAROQUE CANDLESTICK CANDLE",3,"12-01-2010 11:21",2.95,14667,"United Kingdom",NULL,NULL
536991,84625,"PINK NEW BAROQUECANDLESTICK CANDLE",3,"12-01-2010 11:21",2.95,16710,"United Kingdom",NULL,NULL
536992,21108,"FAIRY CAKE FLANNEL ASSORTED COLOUR",9,"12-01-2010 11:21",2.55,16550,"United Kingdom",NULL,NULL
536993,22848,"BREAD BIN DINER STYLE PINK",1,"12-01-2010 11:21",16.95,15984,"United Kingdom",NULL,NULL
536994,21033,"JUMBO BAG CHARLIE AND LOLA TOYS",4,"12-01-2010 11:21",2.95,17682,"United Kingdom",NULL,NULL
536995,47570,"TEA TIME TABLE CLOTH",1,"12-01-2010 11:21",10.65,16658,"United Kingdom",NULL,NULL
536996,84030,"ENGLISH ROSE HOT WATER BOTTLE",1,"12-01-2010 11:21",4.25,17068,"United Kingdom",NULL,NULL
536997,22428,"ENAMEL FIRE BUCKET CREAM",2,"12-01-2010 11:21",6.95,15356,"United Kingdom",NULL,NULL
536998,22502,"PICNIC BASKET WICKER SMALL",2,"12-01-2010 11:21",5.95,17223,"United Kingdom",NULL,NULL
536999,22086,"PAPER CHAIN KIT 50'S CHRISTMAS ",40,"12-01-2010 11:22",2.55,16817,"United Kingdom",NULL,NULL
537000,22910,"PAPER CHAIN KIT VINTAGE CHRISTMAS",40,"12-01-2010 11:22",2.55,13030,"United Kingdom",NULL,NULL
537001,22837,"HOT WATER BOTTLE BABUSHKA ",36,"12-01-2010 11:22",4.25,17191,"United Kingdom",NULL,NULL
537002,22867,"HAND WARMER BIRD DESIGN",96,"12-01-2010 11:27",1.85,15194,Netherlands,NULL,NULL
537003,22297,"HEART IVORY TRELLIS SMALL",24,"12-01-2010 11:29",1.25,14409,"United Kingdom",NULL,NULL
537004,22771,"CLEAR DRAWER KNOB ACRYLIC EDWARDIAN",12,"12-01-2010 11:29",1.25,16861,"United Kingdom",NULL,NULL
537005,22772,"PINK DRAWER KNOB ACRYLIC EDWARDIAN",12,"12-01-2010 11:29",1.25,16654,"United Kingdom",NULL,NULL
537006,22773,"GREEN DRAWER KNOB ACRYLIC EDWARDIAN",12,"12-01-2010 11:29",1.25,16138,"United Kingdom",NULL,NULL
537007,22805,"BLUE DRAWER KNOB ACRYLIC EDWARDIAN",12,"12-01-2010 11:29",1.25,13481,"United Kingdom",NULL,NULL
537008,22469,"HEART OF WICKER SMALL",12,"12-01-2010 11:29",1.65,13495,"United Kingdom",NULL,NULL
537009,22197,"SMALL POPCORN HOLDER",36,"12-01-2010 11:29",0.85,17519,"United Kingdom",NULL,NULL
537010,21125,"SET 6 FOOTBALL CELEBRATION CANDLES",12,"12-01-2010 11:29",1.25,17218,"United Kingdom",NULL,NULL
537011,21126,"SET OF 6 GIRLS CELEBRATION CANDLES",12,"12-01-2010 11:29",1.25,17812,"United Kingdom",NULL,NULL
537012,85049,"ROMANTIC PINKS RIBBONS ",12,"12-01-2010 11:29",1.25,14215,"United Kingdom",NULL,NULL
537013,85049,"BRIGHT BLUES RIBBONS ",12,"12-01-2010 11:29",1.25,15602,"United Kingdom",NULL,NULL
537014,85049,"SCANDINAVIAN REDS RIBBONS",12,"12-01-2010 11:29",1.25,17320,"United Kingdom",NULL,NULL
537015,85049,"CHOCOLATE BOX RIBBONS ",12,"12-01-2010 11:29",1.25,16782,"United Kingdom",NULL,NULL
537016,21061,"PARTY INVITES FOOTBALL",12,"12-01-2010 11:29",0.85,12913,"United Kingdom",NULL,NULL
537017,21063,"PARTY INVITES JAZZ HEARTS",12,"12-01-2010 11:29",0.85,17869,"United Kingdom",NULL,NULL
537018,21062,"PARTY INVITES SPACEMAN",12,"12-01-2010 11:29",0.85,13564,"United Kingdom",NULL,NULL
537019,84380,"SET OF 3 BUTTERFLY COOKIE CUTTERS",12,"12-01-2010 11:29",1.25,14850,"United Kingdom",NULL,NULL
537020,84378,"SET OF 3 HEART COOKIE CUTTERS",12,"12-01-2010 11:29",1.25,15021,"United Kingdom",NULL,NULL
537021,22964,"3 PIECE SPACEBOY COOKIE CUTTER SET",12,"12-01-2010 11:29",2.1,13963,"United Kingdom",NULL,NULL
537022,21213,"PACK OF 72 SKULL CAKE CASES",24,"12-01-2010 11:29",0.55,17450,"United Kingdom",NULL,NULL
537023,22417,"PACK OF 60 SPACEBOY CAKE CASES",24,"12-01-2010 11:29",0.55,17091,"United Kingdom",NULL,NULL
537024,21212,"PACK OF 72 RETROSPOT CAKE CASES",24,"12-01-2010 11:29",0.55,17470,"United Kingdom",NULL,NULL
537025,84992,"72 SWEETHEART FAIRY CAKE CASES",24,"12-01-2010 11:29",0.55,17616,"United Kingdom",NULL,NULL
537026,21975,"PACK OF 60 DINOSAUR CAKE CASES",24,"12-01-2010 11:29",0.55,15649,"United Kingdom",NULL,NULL
537027,22383,"LUNCH BAG SUKI  DESIGN ",10,"12-01-2010 11:29",1.65,12681,"United Kingdom",NULL,NULL
537028,20728,"LUNCH BAG CARS BLUE",10,"12-01-2010 11:29",1.65,14907,"United Kingdom",NULL,NULL
537029,20727,"LUNCH BAG  BLACK SKULL.",10,"12-01-2010 11:29",1.65,17735,"United Kingdom",NULL,NULL
537030,22296,"HEART IVORY TRELLIS LARGE",24,"12-01-2010 11:29",1.65,16059,"United Kingdom",NULL,NULL
537031,20914,"SET/5 RED RETROSPOT LID GLASS BOWLS",128,"12-01-2010 11:32",2.55,17720,"United Kingdom",NULL,NULL
537032,85123,"WHITE HANGING HEART T-LIGHT HOLDER",8,"12-01-2010 11:33",2.55,15018,"United Kingdom",NULL,NULL
537034,71053,"WHITE METAL LANTERN",8,"12-01-2010 11:33",3.39,14733,"United Kingdom",NULL,NULL
537035,84406,"CREAM CUPID HEARTS COAT HANGER",8,"12-01-2010 11:33",2.75,13756,"United Kingdom",NULL,NULL
537036,20679,"EDWARDIAN PARASOL RED",6,"12-01-2010 11:33",4.95,14176,"United Kingdom",NULL,NULL
537037,37370,"RETRO COFFEE MUGS ASSORTED",6,"12-01-2010 11:33",1.06,13319,"United Kingdom",NULL,NULL
537038,21871,"SAVE THE PLANET MUG",6,"12-01-2010 11:33",1.06,15353,"United Kingdom",NULL,NULL
537039,21071,"VINTAGE BILLBOARD DRINK ME MUG",6,"12-01-2010 11:33",1.06,18119,"United Kingdom",NULL,NULL
537040,21068,"VINTAGE BILLBOARD LOVE/HATE MUG",6,"12-01-2010 11:33",1.06,17491,"United Kingdom",NULL,NULL
537041,82483,"WOOD 2 DRAWER CABINET WHITE FINISH",4,"12-01-2010 11:33",4.95,14282,"United Kingdom",NULL,NULL
537042,82486,"WOOD S/3 CABINET ANT WHITE FINISH",4,"12-01-2010 11:33",6.95,13569,"United Kingdom",NULL,NULL
537043,82482,"WOODEN PICTURE FRAME WHITE FINISH",6,"12-01-2010 11:33",2.1,14673,"United Kingdom",NULL,NULL
537044,82494,"WOODEN FRAME ANTIQUE WHITE ",6,"12-01-2010 11:33",2.55,13488,"United Kingdom",NULL,NULL
537045,84029,"KNITTED UNION FLAG HOT WATER BOTTLE",6,"12-01-2010 11:33",3.39,16221,"United Kingdom",NULL,NULL
537046,84029,"RED WOOLLY HOTTIE WHITE HEART.",6,"12-01-2010 11:33",3.39,15002,"United Kingdom",NULL,NULL
537047,22752,"SET 7 BABUSHKA NESTING BOXES",2,"12-01-2010 11:33",7.65,15965,"United Kingdom",NULL,NULL
537048,22803,"IVORY EMBROIDERED QUILT ",2,"12-01-2010 11:33",35.75,15024,"United Kingdom",NULL,NULL
537049,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",6,"12-01-2010 11:33",4.25,17675,"United Kingdom",NULL,NULL
537050,22632,"HAND WARMER RED POLKA DOT",6,"12-01-2010 11:34",1.85,13769,"United Kingdom",NULL,NULL
537051,22633,"HAND WARMER UNION JACK",6,"12-01-2010 11:34",1.85,16904,"United Kingdom",NULL,NULL
537052,22537,"MAGIC DRAWING SLATE DINOSAUR",24,"12-01-2010 11:41",0.42,16086,"United Kingdom",NULL,NULL
537053,22533,"MAGIC DRAWING SLATE BAKE A CAKE ",24,"12-01-2010 11:41",0.42,13786,"United Kingdom",NULL,NULL
537054,20982,"12 PENCILS TALL TUBE SKULLS",12,"12-01-2010 11:41",0.85,13880,"United Kingdom",NULL,NULL
537055,21832,"CHOCOLATE CALCULATOR",12,"12-01-2010 11:41",1.65,13173,"United Kingdom",NULL,NULL
537057,21915,"RED  HARMONICA IN BOX ",12,"12-01-2010 11:41",1.25,15858,"United Kingdom",NULL,NULL
537058,21914,"BLUE HARMONICA IN BOX ",12,"12-01-2010 11:41",1.25,15180,"United Kingdom",NULL,NULL
537059,21544,"SKULLS  WATER TRANSFER TATTOOS ",12,"12-01-2010 11:41",0.85,12347,"United Kingdom",NULL,NULL
537065,22813,"PACK 3 BOXES BIRD PANNETONE ",12,"12-01-2010 11:41",1.95,14739,"United Kingdom",NULL,NULL
537067,22114,"HOT WATER BOTTLE TEA AND SYMPATHY",4,"12-01-2010 11:41",3.95,16293,"United Kingdom",NULL,NULL
537077,84029,"RED WOOLLY HOTTIE WHITE HEART.",4,"12-01-2010 11:41",3.75,17419,"United Kingdom",NULL,NULL
537081,21479,"WHITE SKULL HOT WATER BOTTLE ",4,"12-01-2010 11:41",3.75,16775,"United Kingdom",NULL,NULL
537086,22964,"3 PIECE SPACEBOY COOKIE CUTTER SET",6,"12-01-2010 11:41",2.1,16306,"United Kingdom",NULL,NULL
537090,84375,"SET OF 20 KIDS COOKIE CUTTERS",12,"12-01-2010 11:41",2.1,16950,"United Kingdom",NULL,NULL
537111,22418,"10 COLOUR SPACEBOY PEN",24,"12-01-2010 11:41",0.85,17591,"United Kingdom",NULL,NULL
537117,22178,"VICTORIAN GLASS HANGING T-LIGHT",12,"12-01-2010 11:41",1.25,12839,"United Kingdom",NULL,NULL
537126,84970,"SINGLE HEART ZINC T-LIGHT HOLDER",12,"12-01-2010 11:41",0.95,13807,"United Kingdom",NULL,NULL
537127,21733,"RED HANGING HEART T-LIGHT HOLDER",6,"12-01-2010 11:41",2.95,16125,"United Kingdom",NULL,NULL
